image no,Energy(x1),Contrast(x2),Correlation(X3),Variance(x4),Inverse difference moment(x5),Sum average(x6),Sum variance(x7),Sum entropy(x8),Entropy (x9),Difference Variance(x10),Difference Entropy(x11),Information measure of correlation-1(x12),Information measure of correlation-2 (x13),Maximal Correlation Coefficient (X14),Label
37,0.993573372,0.000805396,0.856739021,0.569547216,0.999597302,2.005637773,3.939256696,0.023513072,0.034727589,0.25,0.006542856,-0.757015834,0.325172491,0.856739021,1
38,0.961923419,0.002941176,0.91631084,0.607230392,0.998529412,2.035784314,3.799922416,0.10379687,0.152688406,0.25,0.020080805,-0.820357351,0.635717755,0.91631084,1
39,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
40,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
41,0.973495516,0.001788067,0.927666063,0.593791173,0.999105966,2.025032938,3.844788626,0.076408432,0.112022133,0.25,0.013098888,-0.845708691,0.56720279,0.927666063,1
42,0.977145558,0.001981698,0.905075934,0.588874075,0.999009151,2.02109926,3.853358762,0.068258478,0.100457866,0.25,0.01431343,-0.809955324,0.535315581,0.905075934,1
43,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
44,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
45,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
46,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
47,0.991893354,0.000887311,0.877105751,0.571557971,0.999556344,2.007246377,3.928675386,0.028579539,0.042118871,0.25,0.007122334,-0.782564455,0.359495609,0.877105751,1
48,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
49,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
50,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
51,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
52,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
53,0.957441057,0.003205128,0.918577354,0.612713675,0.998397436,2.04017094,3.787114688,0.113621787,0.167126716,0.25,0.021607048,-0.822389208,0.658149976,0.918577354,1
54,0.987647009,0.001028318,0.909205118,0.576738253,0.999485841,2.011390603,3.905907764,0.040531749,0.059503271,0.25,0.008102445,-0.825377955,0.428274767,0.909205118,1
55,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
56,0.978568929,0.001632736,0.917542732,0.587501276,0.999183632,2.02000102,3.862687181,0.064312416,0.09441594,0.25,0.012109485,-0.831435537,0.525510081,0.917542732,1
57,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
58,0.962156999,0.003258699,0.905804134,0.606518711,0.998370651,2.035214969,3.796274034,0.103805409,0.153018247,0.25,0.021914084,-0.802560135,0.632609988,0.905804134,1
59,0.975948904,0.002699055,0.873635744,0.589490553,0.998650472,2.021592443,3.840627928,0.072077546,0.106684974,0.25,0.018659926,-0.75985984,0.539579784,0.873635744,1
60,0.987128669,0.001561541,0.861959861,0.576721181,0.999219229,2.011376945,3.897015305,0.042633084,0.06306808,0.25,0.01165113,-0.753755612,0.428080734,0.861959861,1
61,0.987424871,0.001458435,0.8688319,0.576476665,0.999270783,2.011181332,3.899564505,0.041718132,0.061644976,0.25,0.01098152,-0.764051961,0.425282566,0.8688319,1
62,0.95859061,0.003345281,0.912140397,0.61103644,0.99832736,2.038829152,3.787540008,0.111464451,0.164154492,0.25,0.022408464,-0.811687294,0.651557503,0.912140397,1
63,0.960599274,0.003243243,0.910328382,0.608558559,0.998378378,2.036846847,3.793065491,0.107087087,0.157737253,0.25,0.021825594,-0.809481578,0.641390908,0.910328382,1
64,0.984223688,0.001303936,0.90991235,0.580725462,0.999348032,2.01458037,3.887763182,0.049861824,0.073239341,0.25,0.009964305,-0.823240352,0.46944975,0.90991235,1
65,0.992700752,0.000775194,0.881190078,0.570682601,0.999612403,2.006546081,3.934518152,0.02608047,0.038401359,0.25,0.006327139,-0.789887601,0.345266486,0.881190078,1
66,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
67,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
68,0.958789123,0.003813883,0.898055988,0.610173532,0.998093059,2.038138825,3.78194195,0.111760682,0.165050464,0.25,0.025046523,-0.788026224,0.648076582,0.898055988,1
69,0.983379465,0.001328656,0.913123616,0.581765519,0.999335672,2.015412415,3.884111129,0.052034586,0.076398696,0.25,0.010128245,-0.827710654,0.479034578,0.913123616,1
70,0.957427789,0.003246753,0.917461021,0.612677096,0.998376623,2.040141677,3.786529784,0.113718946,0.167308512,0.25,0.021845697,-0.820426114,0.658008571,0.917461021,1
71,0.963508243,0.003066015,0.908299625,0.605017007,0.998466992,2.034013605,3.801833526,0.100615236,0.148223117,0.25,0.020805494,-0.807416745,0.625889855,0.908299625,1
72,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
73,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
74,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
75,0.990815039,0.001100791,0.863854141,0.572647919,0.999449604,2.008118335,3.920388306,0.031930506,0.047166774,0.25,0.008598473,-0.761789787,0.37593907,0.863854141,1
76,0.964011193,0.001960304,0.942398803,0.605790043,0.999019848,2.034632035,3.818345706,0.097561742,0.142712145,0.25,0.014180201,-0.868200818,0.629377241,0.942398803,1
77,0.945243278,0.004258107,0.915709006,0.627326946,0.997870947,2.051861557,3.752456845,0.139877912,0.206059276,0.25,0.027493738,-0.812715767,0.707485967,0.915709006,1
78,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
79,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
80,0.981954696,0.001871658,0.884302378,0.582887701,0.999064171,2.01631016,3.871717265,0.056403371,0.083244522,0.25,0.013625658,-0.78115424,0.488930275,0.884302378,1
81,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
82,0.960060281,0.003884514,0.892307105,0.608431759,0.998057743,2.036745407,3.783781267,0.109175643,0.161391674,0.25,0.025438957,-0.779218631,0.640856249,0.892307105,1
83,0.967223776,0.00205863,0.932991308,0.601511034,0.998970685,2.031208827,3.824343833,0.090858653,0.133139958,0.25,0.014790606,-0.852162633,0.609275257,0.932991308,1
84,0.968337567,0.001690974,0.943585891,0.600546925,0.999154513,2.03043754,3.832470967,0.087704077,0.128221212,0.25,0.012482104,-0.8720777,0.60446019,0.943585891,1
85,0.973399812,0.002641233,0.8897922,0.592825263,0.998679384,2.02426021,3.833306287,0.077977688,0.115139256,0.25,0.018317444,-0.78294482,0.561299096,0.8897922,1
86,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
87,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
88,0.979504713,0.002054443,0.888618299,0.585772984,0.998972779,2.018618387,3.860467036,0.062696265,0.092506033,0.25,0.01476471,-0.785658535,0.512507689,0.888618299,1
89,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
90,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
91,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
92,0.946768659,0.003521704,0.929172183,0.626279689,0.998239148,2.051023751,3.764683399,0.135622742,0.199183961,0.25,0.023408931,-0.837619768,0.704364177,0.929172183,1
93,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
94,0.979113569,0.001850064,0.90283168,0.586530727,0.999074968,2.019224582,3.86166689,0.063352046,0.093247747,0.25,0.013489946,-0.807753138,0.51830327,0.90283168,1
95,0.99339223,0.000828157,0.856727575,0.569746377,0.999585921,2.005797101,3.93791489,0.024085102,0.035575614,0.25,0.006704673,-0.756608371,0.328847691,0.856727575,1
96,0.935575841,0.004118774,0.931720598,0.64032567,0.997940613,2.062260536,3.742326159,0.15810712,0.232219131,0.25,0.026731409,-0.83907156,0.742107006,0.931720598,1
97,0.977499754,0.002533784,0.873138802,0.587720533,0.998733108,2.020176426,3.847751012,0.068167453,0.100878631,0.25,0.017677636,-0.760360113,0.527105927,0.873138802,1
98,0.970651059,0.0021518,0.92089487,0.5969777,0.9989241,2.02758216,3.831814805,0.083472322,0.122576904,0.25,0.015364655,-0.832478935,0.585597429,0.92089487,1
99,0.958229042,0.002566346,0.93455069,0.612514582,0.998716827,2.040011665,3.797525221,0.110848849,0.162487431,0.25,0.017872002,-0.851462126,0.657379086,0.93455069,1
100,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
101,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
102,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
103,0.99252873,0.000936705,0.856672964,0.570696173,0.999531647,2.006556938,3.93165215,0.026779685,0.039571624,0.25,0.007468047,-0.754767194,0.345494873,0.856672964,1
104,0.988119658,0.00149214,0.856392871,0.575556222,0.99925393,2.010444977,3.902440584,0.03987352,0.05901747,0.25,0.01120119,-0.747152876,0.414413812,0.856392871,1
105,0.956612222,0.003874644,0.901977598,0.61292735,0.998062678,2.04034188,3.776751598,0.116395429,0.171797752,0.25,0.025384193,-0.793548757,0.658973905,0.901977598,1
106,0.98708517,0.00091954,0.923346962,0.577586207,0.99954023,2.012068966,3.904905396,0.041832263,0.061270738,0.25,0.007348209,-0.847626113,0.437701334,0.923346962,1
107,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
108,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
109,0.987478137,0.001282051,0.885953268,0.576631702,0.999358974,2.011305361,3.901912828,0.041353086,0.060941943,0.25,0.009818785,-0.789386414,0.427060923,0.885953268,1
110,0.978588677,0.00238692,0.87457136,0.586518379,0.99880654,2.019214703,3.853243403,0.065354391,0.096673375,0.25,0.016795697,-0.763431529,0.518210041,0.87457136,1
111,0.97532579,0.001981352,0.912703403,0.591200466,0.999009324,2.022960373,3.847593417,0.072529343,0.106619076,0.25,0.014311275,-0.821282328,0.550988169,0.912703403,1
112,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
113,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
114,0.905930171,0.006439542,0.926549408,0.677367511,0.996780229,2.091894009,3.691099504,0.215142683,0.316824824,0.25,0.038908172,-0.82187972,0.811751016,0.926549408,1
115,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
116,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
117,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
118,0.994508131,0.000550444,0.888612983,0.568692498,0.999724778,2.004953999,3.947982275,0.020350949,0.029910657,0.25,0.004681259,-0.804194595,0.308560468,0.888612983,1
119,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
120,0.973795934,0.002561385,0.891692725,0.592419626,0.998719308,2.0239357,3.835487919,0.076950641,0.113577693,0.25,0.017842416,-0.786216409,0.558770683,0.891692725,1
121,0.971008583,0.001777984,0.934672799,0.596996753,0.999111008,2.027597403,3.838034346,0.081992319,0.120067896,0.25,0.013035086,-0.856887893,0.585702762,0.934672799,1
122,0.97669074,0.001288937,0.941470461,0.590337451,0.999355532,2.022269961,3.861556593,0.068094544,0.099528597,0.25,0.00986461,-0.871900531,0.545305036,0.941470461,1
123,0.961549104,0.003090367,0.912627662,0.607523444,0.998454817,2.036018755,3.797123961,0.104834101,0.154334005,0.25,0.020946254,-0.81384592,0.63698351,0.912627662,1
124,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
125,0.990678351,0.000891266,0.894289315,0.573083779,0.999554367,2.008467023,3.922201506,0.03204844,0.047127391,0.25,0.007150109,-0.806037788,0.382168315,0.894289315,1
126,0.963380647,0.002262443,0.934158618,0.606217006,0.998868778,2.034973605,3.812525826,0.099498414,0.145808313,0.25,0.016041126,-0.852689219,0.631277783,0.934158618,1
127,0.922353922,0.004597701,0.937077712,0.657442529,0.997701149,2.075954023,3.724352683,0.183122453,0.268787556,0.25,0.029332857,-0.846101812,0.778548689,0.937077712,1
128,0.958558128,0.002721471,0.929728232,0.611885323,0.998639264,2.039508258,3.79595897,0.110460611,0.162082447,0.25,0.018792361,-0.842746144,0.654922147,0.929728232,1
129,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
130,0.994008366,0.000750751,0.856766493,0.569069069,0.999624625,2.005255255,3.942521676,0.022129053,0.032676226,0.25,0.006151698,-0.758028591,0.316056019,0.856766493,1
131,0.975135851,0.002915615,0.867212695,0.590254415,0.998542192,2.022203532,3.835472796,0.07426248,0.110053727,0.25,0.019931774,-0.749556258,0.544750308,0.867212695,1
132,0.968345281,0.001817946,0.939077045,0.600373869,0.999091027,2.030299095,3.830596614,0.087946294,0.128697628,0.25,0.013287617,-0.863722062,0.603583909,0.939077045,1
133,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
134,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
135,0.959240879,0.002542373,0.933486152,0.611228814,0.998728814,2.038983051,3.799850867,0.108711874,0.159380454,0.25,0.017728945,-0.849869799,0.652325125,0.933486152,1
136,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
137,0.993339179,0.000834824,0.856724222,0.569804711,0.999582588,2.005843769,3.937523827,0.02425217,0.03582331,0.25,0.00675195,-0.75649053,0.329911287,0.856724222,1
138,0.986689076,0.001430396,0.879622382,0.577442529,0.999284802,2.011954023,3.896560258,0.043648786,0.064402283,0.25,0.010798185,-0.779000451,0.436132426,0.879622382,1
139,0.990446637,0.000933707,0.89168798,0.573322511,0.999533147,2.008658009,3.920486754,0.032758364,0.048194037,0.25,0.007447135,-0.801803595,0.385503687,0.89168798,1
140,0.964537379,0.003190883,0.901155718,0.603525641,0.998404558,2.032820513,3.802643961,0.09858397,0.145417487,0.25,0.021525253,-0.796016694,0.618987068,0.901155718,1
141,0.974351038,0.002702703,0.882253463,0.591529029,0.998648649,2.023223223,3.835476066,0.075847646,0.112127725,0.25,0.018681488,-0.771837759,0.553113271,0.882253463,1
142,0.931426929,0.004876219,0.923475034,0.644864341,0.99756189,2.065891473,3.727696214,0.167173175,0.24605613,0.25,0.030822303,-0.82244996,0.752650556,0.923475034,1
143,0.995151455,0.000607244,0.856838589,0.567813381,0.999696378,2.004250705,3.951419388,0.018415039,0.027174529,0.25,0.005104657,-0.760965958,0.289810465,0.856838589,1
144,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
145,0.964349302,0.002051282,0.938956522,0.605235043,0.998974359,2.034188034,3.817747419,0.097027366,0.142032182,0.25,0.014745157,-0.86189951,0.626879601,0.938956522,1
146,0.974040588,0.001793851,0.925778183,0.593085154,0.999103075,2.024468123,3.846290267,0.075174261,0.110247385,0.25,0.01313546,-0.842717566,0.56290358,0.925778183,1
147,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
148,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
149,0.980072078,0.001603849,0.912485387,0.58562216,0.999198075,2.018497728,3.868230034,0.060646714,0.089098563,0.25,0.011923892,-0.824113831,0.511335681,0.912485387,1
150,0.969126202,0.002008032,0.930445231,0.599123768,0.998995984,2.029299014,3.829811379,0.086599909,0.126945291,0.25,0.014477099,-0.848450857,0.597141721,0.930445231,1
151,0.975894913,0.002249609,0.897092713,0.590131064,0.998875196,2.022104851,3.845904955,0.071609149,0.105559773,0.25,0.015962939,-0.796244001,0.543923622,0.897092713,1
152,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
153,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
154,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
155,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
156,0.955196879,0.004588135,0.885969513,0.613849765,0.997705933,2.041079812,3.765171065,0.120328103,0.178184893,0.25,0.029281404,-0.766556416,0.662490692,0.885969513,1
157,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
158,0.979105462,0.001725129,0.910020093,0.586699732,0.999137435,2.019359785,3.863267428,0.063177844,0.092871492,0.25,0.012699696,-0.819382424,0.519575334,0.910020093,1
159,0.977876135,0.001991083,0.901121887,0.587929598,0.999004458,2.020343678,3.855651893,0.06653471,0.097980379,0.25,0.0143718,-0.804099051,0.528616844,0.901121887,1
160,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
161,0.928215701,0.004040404,0.940372035,0.650282588,0.997979798,2.07022607,3.73664712,0.171498316,0.251460174,0.25,0.026300556,-0.853969199,0.764363076,0.940372035,1
162,0.977762037,0.002627258,0.866076542,0.587267378,0.998686371,2.019813903,3.847573222,0.067644528,0.100217683,0.25,0.018234482,-0.750023437,0.523794784,0.866076542,1
163,0.964978822,0.002136752,0.935031388,0.604310487,0.998931624,2.033448389,3.817925035,0.095850958,0.140420454,0.25,0.01527222,-0.854924523,0.62264899,0.935031388,1
164,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
165,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
166,0.987271535,0.001228501,0.893187486,0.576960483,0.999385749,2.011568387,3.901641805,0.041830495,0.061577149,0.25,0.009461113,-0.800096595,0.430784879,0.893187486,1
167,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
168,0.983533257,0.001460159,0.902712634,0.581403838,0.999269921,2.015123071,3.882982912,0.051853951,0.076269596,0.25,0.010992774,-0.811158877,0.475748393,0.902712634,1
169,0.96912362,0.002249939,0.92141737,0.598816948,0.998875031,2.029053558,3.826431038,0.087039663,0.127821629,0.25,0.015964951,-0.832602272,0.595529675,0.92141737,1
170,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
171,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
172,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
173,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
174,0.993904674,0.000763775,0.856759946,0.569183033,0.999618112,2.005346427,3.941737749,0.022460334,0.033167188,0.25,0.006245279,-0.757782564,0.318268053,0.856759946,1
175,0.97760726,0.002478857,0.875559569,0.587653106,0.998760572,2.020122485,3.848762443,0.067841448,0.100353378,0.25,0.017348818,-0.764103619,0.5266164,0.875559569,1
176,0.993723057,0.000699231,0.874649404,0.569492308,0.999650385,2.005593847,3.941385513,0.022936957,0.033790265,0.25,0.005779269,-0.78245587,0.324147026,0.874649404,1
177,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
178,0.976063374,0.002214545,0.898073978,0.58996036,0.998892727,2.021968288,3.846884878,0.071161928,0.104879506,0.25,0.01574896,-0.797928723,0.542774375,0.898073978,1
179,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
180,0.973023661,0.001606426,0.93668633,0.594628514,0.999196787,2.025702811,3.846053746,0.077135342,0.1128892,0.25,0.011940466,-0.861460463,0.572192353,0.93668633,1
181,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
182,0.979358697,0.002347059,0.871743709,0.585587913,0.998826471,2.01847033,3.856446668,0.063427052,0.093852952,0.25,0.016554785,-0.759855256,0.511068686,0.871743709,1
183,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
184,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
185,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
186,0.974321329,0.001803752,0.924460226,0.592712843,0.999098124,2.024170274,3.846978139,0.074548376,0.109354325,0.25,0.013198023,-0.840593559,0.560601327,0.924460226,1
187,0.906008654,0.009438414,0.888490199,0.673204735,0.995280793,2.088563788,3.652969379,0.21957375,0.326216375,0.25,0.053404749,-0.752953937,0.805473744,0.888490199,1
188,0.950169073,0.003741535,0.918844695,0.621522711,0.998129233,2.047218169,3.766913139,0.129290148,0.190267791,0.25,0.024643193,-0.820052505,0.689448834,0.918844695,1
189,0.951816508,0.003863135,0.912865453,0.619205298,0.998068433,2.045364238,3.768056104,0.126185071,0.185909711,0.25,0.025320307,-0.810147249,0.681711059,0.912865453,1
190,0.975070308,0.002453988,0.890845226,0.590925358,0.998773006,2.022740286,3.840749916,0.073832784,0.108972179,0.25,0.017199541,-0.785761848,0.549192632,0.890845226,1
191,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
192,0.99084867,0.000918635,0.888427665,0.572834646,0.999540682,2.008267717,3.922736204,0.031606956,0.046517834,0.25,0.007341881,-0.797512247,0.378630391,0.888427665,1
193,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
194,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
195,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
196,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
197,0.991652041,0.000930727,0.874532897,0.571807273,0.999534636,2.007445818,3.926844523,0.029330793,0.043246117,0.25,0.007426346,-0.778443997,0.36337343,0.874532897,1
198,0.956207153,0.003703704,0.9076449,0.613676176,0.998148148,2.040940941,3.778146178,0.116975203,0.172463249,0.25,0.024431733,-0.802953808,0.661833782,0.9076449,1
199,0.991364764,0.000953248,0.875926025,0.572140799,0.999523376,2.007712639,3.925030673,0.030184352,0.044500062,0.25,0.007583236,-0.779980599,0.368450084,0.875926025,1
200,0.930493351,0.004694836,0.927586665,0.646354982,0.997652582,2.067083985,3.729307497,0.16857546,0.247897815,0.25,0.029854183,-0.829870308,0.755963556,0.927586665,1
201,0.94743575,0.002703068,0.945796072,0.626472609,0.998648466,2.051178087,3.777520692,0.132718606,0.194175542,0.25,0.018683647,-0.869521788,0.704943446,0.945796072,1
202,0.959993785,0.002624672,0.929799893,0.610143501,0.998687664,2.038114801,3.80019567,0.1073006,0.157426715,0.25,0.018219123,-0.843427793,0.647954316,0.929799893,1
203,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
204,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
205,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
206,0.976518641,0.002206288,0.896320759,0.589389134,0.998896856,2.021511307,3.848454637,0.07007567,0.103304109,0.25,0.015698488,-0.795456301,0.538883965,0.896320759,1
207,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
208,0.977902244,0.001526897,0.925782205,0.58848661,0.999236552,2.020789288,3.861946642,0.065712012,0.09632929,0.25,0.011426921,-0.844947186,0.532592239,0.925782205,1
209,0.963658573,0.002161495,0.936769943,0.605987211,0.998919253,2.034789769,3.814599556,0.098713365,0.144574777,0.25,0.015424152,-0.857589865,0.630257132,0.936769943,1
210,1,0,,0.5625,1,2,4,0,0,0.25,0,,0,0,1
